2025-10-04 09:35:04,900,0,person,0.931,NO
2025-10-04 09:35:04,900,1,glasses,0.722,NO
2025-10-04 09:35:04,915,0,person,0.938,NO
2025-10-04 09:35:04,915,1,glasses,0.685,NO
2025-10-04 09:35:05,930,0,person,0.948,NO
2025-10-04 09:35:05,930,1,glasses,0.804,NO
2025-10-04 09:35:05,945,0,person,0.936,NO
2025-10-04 09:35:05,945,0,person,0.936,YES
2025-10-04 09:35:05,945,1,glasses,0.768,NO
2025-10-04 09:35:06,960,0,person,0.939,NO
2025-10-04 09:35:06,960,1,glasses,0.725,NO
2025-10-04 09:35:06,975,0,person,0.926,NO
2025-10-04 09:35:06,975,1,glasses,0.673,NO
2025-10-04 09:35:07,990,0,person,0.938,NO
2025-10-04 09:35:07,990,1,glasses,0.797,NO
2025-10-04 09:35:07,1005,0,person,0.950,NO
2025-10-04 09:35:07,1005,1,glasses,0.672,NO
2025-10-04 09:35:08,1020,0,person,0.928,NO
2025-10-04 09:35:08,1020,1,glasses,0.689,NO
2025-10-04 09:35:08,1035,0,person,0.947,NO
2025-10-04 09:35:08,1035,1,glasses,0.788,NO
2025-10-04 09:35:09,1050,0,person,0.908,NO
2025-10-04 09:35:09,1050,1,glasses,0.793,NO
2025-10-04 09:35:09,1065,0,person,0.991,NO
2025-10-04 09:35:09,1065,1,glasses,0.550,NO
2025-10-04 09:35:10,1081,0,person,0.927,NO
2025-10-04 09:35:10,1081,1,glasses,0.695,NO
2025-10-04 09:35:10,1081,1,glasses,0.588,NO
2025-10-04 09:35:10,1094,0,person,0.911,NO
2025-10-04 09:35:10,1094,1,glasses,0.709,NO
2025-10-04 09:35:11,1110,0,person,0.949,NO
2025-10-04 09:35:11,1110,0,person,0.949,YES
2025-10-04 09:35:11,1125,0,person,0.969,NO
2025-10-04 09:35:11,1125,1,glasses,0.547,NO
2025-10-04 09:35:12,1140,0,person,0.843,NO
2025-10-04 09:35:12,1140,1,glasses,0.564,NO
2025-10-04 09:35:12,1155,0,person,0.965,NO
2025-10-04 09:35:12,1155,1,glasses,0.598,NO
2025-10-04 09:35:13,1169,0,person,0.957,NO
2025-10-04 09:35:13,1169,1,glasses,0.591,NO
2025-10-04 09:35:13,1186,0,person,0.980,NO
